Data,Maceió,Aracaju,Recife,Salvador,João Pessoa,Natal,Fortaleza,Teresina,São Luiz
12008,,,,,,,,,
22008,,,,,,,,,
32008,,,,,,,,,
42008,,,,,,,,,
52008,,,,,,,,,
62008,,,,,,,,,
72008,,,,,,,,,
82008,,,,,,,,,
92008,,,,,,,,,
102008,,,,,,,,,
112008,,,,,,,,,
122008,,,,,,,,,
12009,,,,,,,,,
22009,,,,,,,,,
32009,,,,,,,,,
42009,,,,,,,,,
52009,,,,,,,,,
62009,,,,,,,,,
72009,,,,,,,,,
82009,,,,,,,,,
92009,,,,,,,,,
102009,,,,,,,,,
112009,,,,,,,,,
122009,,,,,,,,,
12010,,,,,,,,,
22010,,,,,,,,,
32010,,,,,,,3533.0,,
42010,,,,,,,3537.0,,
52010,,,,,,,3576.0,,
62010,,,3154.0,,,,3615.0,,
72010,,,3151.0,,,,3718.0,,
82010,,,3185.0,3310.0,,,3765.0,,
92010,,,3253.0,3280.0,,,3842.0,,
102010,,,3321.0,3311.0,,,3859.0,,
112010,,,3368.0,3341.0,,,3866.0,,
122010,,,3395.0,3395.0,,,3833.0,,
12011,,,3421.0,3404.0,,,3819.0,,
22011,,,3468.0,3424.0,,,3846.0,,
32011,,,3538.0,3460.0,,,3920.0,,
42011,,,3664.0,3490.0,,,3997.0,,
52011,,,3789.0,3509.0,,,4087.0,,
62011,,,3906.0,3489.0,,,4187.0,,
72011,,,4023.0,3494.0,,,4283.0,,
82011,,,4142.0,3506.0,,,4374.0,,
92011,,,4242.0,3537.0,,,4437.0,,
102011,,,4293.0,3572.0,,,4490.0,,
112011,,,4336.0,3600.0,,,4514.0,,
122011,,,4438.0,3626.0,,,4540.0,,
12012,,,4590.0,3661.0,,,4557.0,,
22012,,,4737.0,3738.0,,,4593.0,,
32012,,,4837.0,3739.0,,,4620.0,,
42012,,,4904.0,3716.0,,,4623.0,,
52012,,,4994.0,3669.0,,,4734.0,,
62012,,,5032.0,3746.0,,,4858.0,,
72012,,,5065.0,3813.0,,,5025.0,,
82012,,,5073.0,3853.0,,,5094.0,,
92012,,,5127.0,3847.0,,,5118.0,,
102012,,,5184.0,3861.0,,,5064.0,,
112012,,,5206.0,3909.0,,,5013.0,,
122012,,,5229.0,3990.0,,,5044.0,,
12013,,,5221.0,4047.0,,,5214.0,,
22013,,,5169.0,4100.0,,,5358.0,,
32013,,,5200.0,4100.0,,,5324.0,,
42013,,,5278.0,4116.0,,,5311.0,,
52013,,,5429.0,4130.0,,,5339.0,,
62013,,,5548.0,4198.0,,,5375.0,,
72013,,,5617.0,4273.0,,,5422.0,,
82013,,,5668.0,4342.0,,,5433.0,,
92013,,,5740.0,4377.0,,,5522.0,,
102013,,,5818.0,4385.0,,,5600.0,,
112013,,,5872.0,4390.0,,,5708.0,,
122013,,,5931.0,4415.0,,,5755.0,,
12014,,,5990.0,4445.0,,,5779.0,,
22014,,,6044.0,4471.0,,,5826.0,,
32014,,,6086.0,4508.0,,,5908.0,,
42014,,,6127.0,4528.0,,,5989.0,,
52014,,,6146.0,4563.0,,,6054.0,,
62014,,,6160.0,4589.0,,,6091.0,,
72014,,,6166.0,4620.0,,,6135.0,,
82014,,,6199.0,4642.0,,,6139.0,,
92014,,,6164.0,4682.0,,,6144.0,,
102014,,,6201.0,4705.0,,,6146.0,,
112014,,,6250.0,4733.0,,,6182.0,,
122014,,,6344.0,4728.0,,,6215.0,,
12015,,,6381.0,4769.0,,,6304.0,,
22015,,,6379.0,4756.0,,,6288.0,,
32015,,,6337.0,4749.0,,,6271.0,,
42015,,,6358.0,4792.0,,,6373.0,,
52015,,,6365.0,4801.0,,,6417.0,,
62015,,,6363.0,4812.0,,,6433.0,,
72015,,,6368.0,4830.0,,,6444.0,,
82015,,,6370.0,4848.0,,,6475.0,,
92015,,,6368.0,4850.0,,,6506.0,,
102015,,,6355.0,4846.0,,,6539.0,,
112015,,,6344.0,4840.0,,,6552.0,,
122015,,,6346.0,4842.0,,,6588.0,,
12016,,,6325.0,4810.0,,,6607.0,,
22016,,,6311.0,4788.0,,,6597.0,,
32016,,,6285.0,4794.0,,,6544.0,,
42016,,,6281.0,4816.0,,,6535.0,,
52016,,,6276.0,4845.0,,,6530.0,,
62016,,,6262.0,4868.0,,,6582.0,,
72016,,,6259.0,4882.0,,,6616.0,,
82016,,,6265.0,4886.0,,,6661.0,,
92016,,,6298.0,4905.0,,,6661.0,,
102016,,,6334.0,4919.0,,,6663.0,,
112016,,,6371.0,4947.0,,,6646.0,,
122016,,,6397.0,4961.0,,,6643.0,,
12017,,,6347.0,4964.0,,,6589.0,,
22017,,,6327.0,4981.0,,,6531.0,,
32017,,,6286.0,4987.0,,,6468.0,,
42017,,,6268.0,4985.0,,,6434.0,,
52017,,,6227.0,4976.0,,,6444.0,,
62017,,,6222.0,4959.0,,,6481.0,,
72017,,,6245.0,4936.0,,,6474.0,,
82017,,,6273.0,4929.0,,,6445.0,,
92017,,,6298.0,4933.0,,,6392.0,,
102017,,,6297.0,4932.0,,,6418.0,,
112017,,,6322.0,4928.0,,,6422.0,,
122017,,,6316.0,4921.0,,,6421.0,,
12018,5178.0,,6350.0,4928.0,4495.0,,6400.0,,
22018,5179.0,,6344.0,4935.0,4446.0,,6378.0,,
32018,5161.0,,6358.0,4944.0,4410.0,,6365.0,,
42018,5122.0,,6341.0,4944.0,4395.0,,6352.0,,
52018,5119.0,,6343.0,4922.0,4437.0,,6376.0,,
62018,5137.0,,6353.0,4895.0,4473.0,,6364.0,,
72018,5156.0,,6348.0,4879.0,4477.0,,6364.0,,
82018,5121.0,,6358.0,4891.0,4476.0,,6346.0,,
92018,5076.0,,6346.0,4915.0,4465.0,,6340.0,,
102018,5046.0,,6352.0,4933.0,4517.0,,6302.0,,
112018,5010.0,,6330.0,4937.0,4564.0,,6290.0,,
122018,4965.0,,6325.0,4941.0,4579.0,,6277.0,,
12019,4902.0,,6306.0,4938.0,4520.0,,6277.0,,
22019,4900.0,,6298.0,4939.0,4416.0,,6292.0,,
32019,4904.0,,6271.0,4941.0,4343.0,,6266.0,,
42019,4959.0,,6262.0,4921.0,4308.0,,6258.0,,
52019,4996.0,,6234.0,4890.0,4323.0,,6223.0,,
62019,5060.0,,6237.0,4870.0,4327.0,,6217.0,,
72019,5110.0,,6228.0,4880.0,4335.0,,6212.0,,
82019,5138.0,,6223.0,4910.0,4345.0,,6195.0,,
92019,5124.0,,6211.0,4932.0,4342.0,,6163.0,,
102019,5081.0,,6196.0,4953.0,4371.0,,6047.0,,
112019,5036.0,,6203.0,4990.0,4374.0,,5941.0,,
122019,4992.0,,6228.0,4995.0,4375.0,,5770.0,,
12020,5009.0,,6228.0,5003.0,4375.0,,5725.0,,
22020,5040.0,,6208.0,5007.0,4373.0,,5720.0,,
32020,5057.0,,6174.0,5016.0,4365.0,,5701.0,,
42020,5078.0,,6161.0,5025.0,4351.0,,5688.0,,
52020,5068.0,,6070.0,5040.0,4344.0,,5683.0,,
62020,5098.0,,5986.0,5044.0,4358.0,,5692.0,,
72020,5120.0,,5883.0,5056.0,4380.0,,5719.0,,
82020,5169.0,,5923.0,5063.0,4404.0,,5746.0,,
92020,5203.0,,5994.0,5098.0,4438.0,,5776.0,,
102020,5234.0,,6094.0,5119.0,4478.0,,5822.0,,
112020,5288.0,,6168.0,5156.0,4520.0,,5863.0,,
122020,5386.0,,6204.0,5175.0,4563.0,,5928.0,,
12021,5484.0,,6210.0,5178.0,4596.0,,5920.0,,
22021,5565.0,,6206.0,5160.0,4634.0,,5908.0,,
32021,5642.0,,6207.0,5166.0,4662.0,,5882.0,,
42021,5726.0,,6225.0,5199.0,4704.0,,5878.0,,
52021,5779.0,,6259.0,5244.0,4731.0,,5915.0,,
62021,5825.0,,6293.0,5265.0,4746.0,,5957.0,,
72021,5868.0,,6330.0,5261.0,4761.0,,6028.0,,
82021,5972.0,,6354.0,5250.0,4782.0,,6077.0,,
92021,6051.0,,6375.0,5250.0,4820.0,,6112.0,,
102021,6147.0,,6400.0,5252.0,4861.0,,6164.0,,
112021,6247.0,,6438.0,5246.0,4904.0,,6211.0,,
122021,6383.0,,6465.0,5256.0,4948.0,,6257.0,,
12022,6488.0,4021.0,6484.0,5282.0,4984.0,4520.0,6302.0,4138.0,5230.0
22022,6563.0,4080.0,6506.0,5329.0,5039.0,4578.0,6376.0,4174.0,5291.0
32022,6620.0,4162.0,6532.0,5373.0,5085.0,4642.0,6466.0,4221.0,5382.0
42022,6614.0,4307.0,6614.0,5403.0,5160.0,4681.0,6508.0,4298.0,5585.0
52022,6626.0,4462.0,6697.0,5429.0,5235.0,4703.0,6530.0,4461.0,5805.0
62022,6673.0,4601.0,6789.0,5471.0,5286.0,4700.0,6543.0,4629.0,6009.0
72022,6767.0,4626.0,6823.0,5535.0,5341.0,4698.0,6583.0,4738.0,6112.0
82022,6836.0,4593.0,6850.0,5581.0,5338.0,4715.0,6625.0,4748.0,6201.0
92022,6919.0,4543.0,6906.0,5606.0,5373.0,4745.0,6653.0,4744.0,6265.0
102022,7009.0,4460.0,6997.0,5601.0,5392.0,4788.0,6691.0,4813.0,6308.0
112022,7135.0,4347.0,7120.0,5597.0,5439.0,4806.0,6733.0,4910.0,6357.0
122022,7227.0,4288.0,7199.0,5571.0,5455.0,4832.0,6775.0,5005.0,6391.0
12023,7306.0,4229.0,7236.0,5597.0,5517.0,4854.0,6825.0,5065.0,6399.0
22023,7381.0,4167.0,7234.0,5650.0,5586.0,4921.0,6843.0,5107.0,6391.0
32023,7476.0,4130.0,7276.0,5718.0,5662.0,4964.0,6873.0,5181.0,6491.0
42023,7594.0,4203.0,7338.0,5766.0,5698.0,5016.0,6900.0,5219.0,6620.0
52023,7720.0,4365.0,7407.0,5785.0,5741.0,4991.0,6945.0,5214.0,6741.0
62023,7843.0,4478.0,7454.0,5824.0,5737.0,4992.0,7018.0,5175.0,6760.0
72023,7951.0,4484.0,7476.0,5868.0,5735.0,4969.0,7073.0,5174.0,6744.0
82023,8038.0,4496.0,7488.0,5903.0,5732.0,5003.0,7108.0,5194.0,6746.0
92023,8138.0,4505.0,7469.0,5924.0,5800.0,5045.0,7104.0,5225.0,6722.0
102023,8245.0,4545.0,7481.0,5924.0,5875.0,5120.0,7114.0,5255.0,6782.0
112023,8342.0,4543.0,7510.0,5912.0,5940.0,5161.0,7131.0,5277.0,6860.0
122023,8383.0,4541.0,7573.0,5892.0,5991.0,5184.0,7139.0,5299.0,6958.0
12024,8427.0,4540.0,7615.0,5906.0,6036.0,5228.0,7147.0,5315.0,7044.0
22024,8505.0,4534.0,7694.0,5974.0,6141.0,5280.0,7187.0,5235.0,7106.0
32024,8581.0,4533.0,7794.0,6049.0,6201.0,5337.0,7241.0,5213.0,7152.0
42024,8701.0,4547.0,7891.0,6092.0,6296.0,5382.0,7309.0,5174.0,7191.0
52024,8812.0,4589.0,7938.0,6164.0,6354.0,5437.0,7351.0,5239.0,7236.0
62024,8912.0,4665.0,7935.0,6259.0,6452.0,5480.0,7412.0,5232.0,7341.0
72024,8908.0,4720.0,7964.0,6411.0,6537.0,5539.0,7498.0,5286.0,7471.0
82024,8888.0,4788.0,7984.0,6544.0,6656.0,5587.0,7620.0,5302.0,7599.0
92024,8889.0,4889.0,8029.0,6653.0,6786.0,5628.0,7704.0,5321.0,7667.0
102024,8983.0,5003.0,8061.0,6728.0,6864.0,5624.0,7765.0,5309.0,7622.0
112024,9118.0,5120.0,8069.0,6766.0,6899.0,5632.0,7843.0,5366.0,7572.0
122024,9263.0,5167.0,8076.0,6857.0,6922.0,5625.0,7960.0,5448.0,7565.0
12025,9342.0,5155.0,8062.0,6970.0,7030.0,5655.0,8064.0,5541.0,7636.0
22025,9379.0,5112.0,8082.0,7116.0,7183.0,5690.0,8105.0,5585.0,7725.0
32025,9339.0,5119.0,8095.0,7236.0,7342.0,5775.0,8127.0,5634.0,7795.0
42025,9307.0,5170.0,8112.0,7349.0,7445.0,5808.0,8209.0,5633.0,7973.0
52025,9315.0,5170.0,8157.0,7449.0,7497.0,5862.0,8305.0,5643.0,8066.0
